FighterA,FighterB,ReachA,ReachB,HeightA,HeightB,WeightA,WeightB,AgeA,AgeB,WinsA,WinsB,LossesA,LossesB,DrawsA,DrawsB,TotalFightsA,TotalFightsB,WinPercA,WinPercB,KOPercA,KOPercB,RecentWinsA,RecentWinsB,RecentWinPercA,RecentWinPercB,TimeSinceLastFightA,TimeSinceLastFightB,PunchAccuracyA,PunchAccuracyB,PunchesLandedPerRoundA,PunchesLandedPerRoundB,PunchesAbsorbedPerRoundA,PunchesAbsorbedPerRoundB,DefensePercA,DefensePercB,AvgOpponentWinPercA,AvgOpponentWinPercB,StrengthOfScheduleA,StrengthOfScheduleB,StanceA,StanceB,WeightClassA,WeightClassB,TitleFight,LocationAdvantage,Result
Winky Wright,Felix Trinidad,185.0,183.0,178.0,180.0,71.0,71.0,160,160,48,42,0,0,48,42,0.45,0.8,0.72,0.7,5.0,5.0,0.8,0.81,150.0,180.0,27,28,24,25,9,10,52,50,0.73,0.71,8.0,9.0,Southpaw,Orthodox,Middleweight,Middleweight,1,0,1,,
Kelly Pavlik,Bernard Hopkins,191.0,180.0,189.0,185.0,72.0,72.0,170,170,34,48,0,0,34,48,0.75,0.5,0.74,0.72,5.0,5.0,0.82,0.8,150.0,180.0,28,27,25,25,9,10,52,50,0.74,0.71,8.0,9.0,Orthodox,Orthodox,Middleweight,LightHeavyweight,0,1,0,,
Jermain Taylor,Bernard Hopkins,198.0,180.0,188.0,185.0,71.0,72.0,160,160,23,44,0,0,23,44,0.6,0.5,0.72,0.71,5.0,5.0,0.81,0.8,150.0,180.0,28,27,25,24,9,10,52,50,0.73,0.71,8.0,9.0,Orthodox,Orthodox,Middleweight,Middleweight,1,0,1,,
Roy Jones Jr.,Antonio Tarver,188.0,191.0,180.0,188.0,70.0,74.0,175,175,49,24,0,0,49,24,0.85,0.7,0.75,0.72,5.0,5.0,0.83,0.8,150.0,180.0,29,27,25,24,9,10,52,50,0.74,0.72,8.0,9.0,Orthodox,Southpaw,LightHeavyweight,LightHeavyweight,0,1,0,,
Oscar De La Hoya,Shane Mosley,73.0,188.0,179.0,175.0,66.0,69.0,147,147,31,34,0,0,31,34,0.65,0.7,0.73,0.72,5.0,5.0,0.82,0.81,150.0,180.0,28,27,25,25,9,10,52,50,0.74,0.71,8.0,9.0,Orthodox,Orthodox,Welterweight,Welterweight,0,1,0,,
Fernando Vargas,Felix Trinidad,188.0,183.0,178.0,180.0,70.0,71.0,154,154,20,38,0,0,20,38,0.8,0.8,0.74,0.72,5.0,5.0,0.81,0.82,150.0,180.0,27,28,25,24,9,10,52,50,0.73,0.71,8.0,9.0,Orthodox,Orthodox,LightMiddleweight,LightMiddleweight,0,1,0,,
Ricardo Lopez,Will Grigsby,163.0,69.0,165.0,29.0,65.0,66.0,108,108,49,18,0,0,49,18,0.85,0.5,0.76,0.71,5.0,5.0,0.83,0.8,150.0,180.0,27,26,25,24,9,10,52,50,0.75,0.71,8.0,9.0,Orthodox,Orthodox,Strawweight,LightFlyweight,1,0,1,,
Ivan Calderon,Rodel Mayol,160.0,65.0,152.0,27.0,64.0,65.0,108,108,33,31,0,0,33,31,0.3,0.7,0.71,0.7,5.0,5.0,0.82,0.81,150.0,180.0,28,27,25,25,9,10,52,50,0.74,0.72,8.0,9.0,Southpaw,Orthodox,LightFlyweight,LightFlyweight,1,0,1,,
Kazuto Ioka,Juan Carlos Reveco,164.0,161.0,164.0,157.0,66.0,64.0,112,112,15,35,0,0,15,35,0.6,0.7,0.72,0.71,5.0,5.0,0.81,0.8,150.0,180.0,27,26,25,24,9,10,52,50,0.73,0.71,8.0,9.0,Orthodox,Orthodox,Flyweight,Flyweight,1,0,1,,
Roman Gonzalez,Juan Francisco Estrada,163.0,168.0,160.0,163.0,64.0,64.0,112,112,34,32,0,0,34,32,0.8,0.75,0.75,0.73,5.0,5.0,0.83,0.81,150.0,180.0,27,26,25,24,9,10,52,50,0.75,0.72,8.0,9.0,Orthodox,Orthodox,Flyweight,Flyweight,1,0,1,,
Juan Francisco Estrada,Carlos Cuadras,168.0,168.0,163.0,163.0,64.0,66.0,115,115,32,39,0,0,32,39,0.75,0.6,0.74,0.72,5.0,5.0,0.82,0.81,150.0,180.0,28,27,25,25,9,10,52,50,0.74,0.72,8.0,9.0,Orthodox,Orthodox,SuperFlyweight,SuperFlyweight,1,0,1,,
Carlos Cuadras,Srisaket Sor Rungvisai,168.0,160.0,163.0,160.0,66.0,64.0,115,115,39,44,0,0,39,44,0.6,0.8,0.73,0.72,5.0,5.0,0.81,0.82,150.0,180.0,27,28,25,24,9,10,52,50,0.73,0.71,8.0,9.0,Orthodox,Southpaw,SuperFlyweight,SuperFlyweight,0,1,0,,
Srisaket Sor Rungvisai,Roman Gonzalez,160.0,163.0,160.0,160.0,64.0,64.0,115,115,41,46,0,0,41,46,0.7,0.8,0.74,0.73,5.0,5.0,0.82,0.82,150.0,180.0,28,27,25,25,9,10,52,50,0.74,0.72,8.0,9.0,Southpaw,Orthodox,SuperFlyweight,SuperFlyweight,1,0,1,,
Nonito Donaire,Guillermo Rigondeaux,173.0,171.0,168.0,163.0,67.0,67.0,122,122,31,11,0,0,31,11,0.7,0.5,0.74,0.72,5.0,5.0,0.82,0.8,150.0,180.0,28,27,25,25,9,10,52,50,0.74,0.71,8.0,9.0,Orthodox,Southpaw,SuperBantamweight,SuperBantamweight,0,1,0,,
Leo Santa Cruz,Carl Frampton,175.0,157.0,171.0,165.0,67.0,66.0,126,126,32,26,0,0,32,26,0.65,0.45,0.74,0.72,5.0,5.0,0.82,0.81,150.0,180.0,28,27,25,25,9,10,52,50,0.74,0.72,8.0,9.0,Orthodox,Orthodox,Featherweight,Featherweight,0,1,0,,
Abner Mares,Anselmo Moreno,168.0,70.0,164.0,27.0,66.0,66.0,122,122,25,33,0,0,25,33,0.55,0.4,0.72,0.71,5.0,5.0,0.81,0.8,150.0,180.0,27,26,25,24,9,10,52,50,0.73,0.71,8.0,9.0,Orthodox,Southpaw,SuperBantamweight,SuperBantamweight,1,0,1,,
Orlando Salido,Juan Manuel Lopez,170.0,175.0,168.0,166.0,67.0,67.0,126,126,38,30,0,0,38,30,0.65,0.85,0.73,0.72,5.0,5.0,0.81,0.82,150.0,180.0,27,28,25,24,9,10,52,50,0.73,0.71,8.0,9.0,Orthodox,Southpaw,Featherweight,Featherweight,1,0,1,,
Mikey Garcia,Adrien Broner,173.0,177.0,168.0,169.0,68.0,67.0,140,140,36,33,0,0,36,33,0.75,0.8,0.75,0.72,5.0,5.0,0.83,0.81,150.0,180.0,28,27,25,25,9,10,52,50,0.75,0.72,8.0,9.0,Orthodox,Orthodox,LightWelterweight,LightWelterweight,1,0,1,,
Robert Guerrero,Andre Berto,178.0,174.0,173.0,169.0,68.0,69.0,147,147,31,28,0,0,31,28,0.6,0.7,0.73,0.72,5.0,5.0,0.81,0.81,150.0,180.0,27,27,25,25,9,10,52,50,0.74,0.72,8.0,9.0,Southpaw,Orthodox,Welterweight,Welterweight,1,0,1,,
Victor Ortiz,Andre Berto,178.0,174.0,175.0,169.0,69.0,69.0,147,147,29,27,0,0,29,27,0.75,0.7,0.74,0.72,5.0,5.0,0.82,0.81,150.0,180.0,28,27,25,25,9,10,52,50,0.74,0.72,8.0,9.0,Southpaw,Orthodox,Welterweight,Welterweight,1,0,1,,
Shawn Porter,Kell Brook,177.0,175.0,170.0,175.0,147.0,147.0,26,28,24,32,1,0,0,0,25.0,33.0,0.96,0.97,0.55,0.52,5.0,5.0,0.83,0.8,150,160,25,26,27,25,10,11,52.0,53.0,0.73,0.71,8,9,Orthodox,Orthodox,Welterweight,Welterweight,1,0.0,0.0
Keith Thurman,Shawn Porter,175.0,177.0,171.0,170.0,147.0,147.0,27,28,26,26,0,1,0,0,26.0,27.0,1.0,0.96,0.77,0.55,5.0,5.0,0.82,0.83,150,160,26,25,25,27,10,10,53.0,52.0,0.74,0.73,8,9,Orthodox,Orthodox,Welterweight,Welterweight,1,0.0,1.0
Keith Thurman,Danny Garcia,175.0,174.0,171.0,174.0,147.0,147.0,28,29,27,33,0,0,0,0,27.0,33.0,1.0,1.0,0.77,0.64,5.0,5.0,0.82,0.8,150,180,27,26,25,25,10,10,52.0,52.0,0.74,0.72,8,9,Orthodox,Orthodox,Welterweight,Welterweight,1,0.0,1.0
Errol Spence Jr.,Kell Brook,183.0,175.0,175.0,175.0,147.0,147.0,27,31,22,36,0,1,0,0,22.0,37.0,1.0,0.97,0.77,0.52,5.0,5.0,0.83,0.8,150,160,28,25,24,26,11,10,53.0,52.0,0.74,0.71,8,9,Southpaw,Orthodox,Welterweight,Welterweight,1,0.0,1.0
Terence Crawford,Amir Khan,188.0,180.0,173.0,174.0,147.0,147.0,31,32,34,33,0,4,0,0,34.0,37.0,1.0,0.89,0.77,0.44,5.0,5.0,0.83,0.79,150,180,28,27,23,26,10,9,54.0,52.0,0.75,0.72,8,9,Southpaw,Orthodox,Welterweight,Welterweight,1,0.0,1.0
Canelo Alvarez,Daniel Jacobs,179.0,187.0,171.0,183.0,160.0,160.0,28,32,51,35,1,2,0,0,52.0,37.0,0.98,0.95,0.65,0.63,5.0,5.0,0.83,0.81,150,180,29,28,23,25,11,10,55.0,53.0,0.75,0.73,8,9,Orthodox,Orthodox,Middleweight,Middleweight,1,1.0,1.0
Canelo Alvarez,Sergey Kovalev,179.0,184.0,171.0,183.0,175.0,175.0,29,36,53,34,1,3,0,1,55.0,38.0,0.96,0.92,0.65,0.72,5.0,5.0,0.83,0.8,150,180,28,27,24,26,11,9,55.0,53.0,0.75,0.72,8,9,Orthodox,Orthodox,LightHeavyweight,LightHeavyweight,1,1.0,1.0
Canelo Alvarez,Caleb Plant,179.0,188.0,171.0,185.0,168.0,168.0,31,29,56,21,1,0,2,0,59.0,21.0,0.95,1.0,0.65,0.48,5.0,5.0,0.82,0.81,150,180,27,27,23,24,10,9,54.0,52.0,0.74,0.71,8,9,Orthodox,Orthodox,SuperMiddleweight,SuperMiddleweight,1,1.0,1.0
Canelo Alvarez,Billy Joe Saunders,179.0,180.0,171.0,180.0,168.0,168.0,30,31,55,30,1,0,2,0,58.0,30.0,0.95,1.0,0.65,0.43,5.0,5.0,0.82,0.82,150,180,28,27,24,24,10,9,54.0,53.0,0.74,0.71,8,9,Orthodox,Southpaw,SuperMiddleweight,SuperMiddleweight,1,1.0,1.0
Canelo Alvarez,Gennady Golovkin,179.0,178.0,171.0,179.0,160.0,160.0,27,35,49,37,1,0,1,0,51.0,37.0,0.96,1.0,0.65,0.89,5.0,5.0,0.83,0.83,150,180,29,28,23,24,11,9,55.0,53.0,0.75,0.73,8,9,Orthodox,Orthodox,Middleweight,Middleweight,1,1.0,0.0
Gennady Golovkin,Sergiy Derevyanchenko,178.0,174.0,179.0,175.0,160.0,160.0,37,33,39,13,1,2,0,0,40.0,15.0,0.98,0.87,0.89,0.5,5.0,5.0,0.84,0.82,150,180,30,29,25,25,10,9,55.0,52.0,0.74,0.72,8,9,Orthodox,Orthodox,Middleweight,Middleweight,1,0.0,1.0
Gennady Golovkin,Ryota Murata,178.0,191.0,179.0,183.0,160.0,160.0,40,36,42,16,1,2,0,0,43.0,18.0,0.98,0.89,0.89,0.78,5.0,5.0,0.83,0.82,150,180,29,28,25,24,10,9,55.0,53.0,0.74,0.71,8,9,Orthodox,Orthodox,Middleweight,Middleweight,1,0.0,1.0
Gennady Golovkin,Marco Antonio Rubio,178.0,178.0,179.0,178.0,160.0,160.0,32,34,30,59,0,6,1,1,31.0,66.0,0.97,0.89,0.89,0.68,5.0,5.0,0.83,0.8,150,180,28,29,25,24,10,9,54.0,53.0,0.74,0.72,8,9,Orthodox,Orthodox,Middleweight,Middleweight,1,0.0,1.0
Dmitry Bivol,Gilberto Ramirez,183.0,191.0,183.0,189.0,175.0,175.0,31,31,21,44,0,0,0,0,21.0,44.0,1.0,1.0,0.53,0.75,5.0,5.0,0.83,0.83,150,180,29,28,23,24,9,9,52.0,53.0,0.73,0.72,8,9,Orthodox,Southpaw,LightHeavyweight,LightHeavyweight,1,0.0,1.0
Dmitry Bivol,Joe Smith Jr.,183.0,193.0,183.0,183.0,175.0,175.0,28,29,16,24,0,3,0,0,16.0,27.0,1.0,0.89,0.53,0.63,5.0,5.0,0.84,0.81,150,180,28,27,23,26,9,9,52.0,52.0,0.73,0.71,8,9,Orthodox,Orthodox,LightHeavyweight,LightHeavyweight,1,0.0,1.0
Sergey Kovalev,Andre Ward,184.0,180.0,183.0,183.0,175.0,175.0,33,32,30,30,1,0,1,0,31.0,30.0,0.97,1.0,0.72,0.5,5.0,5.0,0.82,0.83,150,180,28,28,24,23,9,10,52.0,53.0,0.73,0.72,8,9,Orthodox,Orthodox,LightHeavyweight,LightHeavyweight,1,0.0,0.0
Sergey Kovalev,Jean Pascal,184.0,183.0,183.0,179.0,175.0,175.0,31,32,26,28,0,2,0,1,26.0,31.0,1.0,0.9,0.72,0.65,5.0,5.0,0.83,0.82,150,180,28,27,24,25,9,10,52.0,52.0,0.74,0.71,8,9,Orthodox,Orthodox,LightHeavyweight,LightHeavyweight,1,0.0,1.0
Artur Beterbiev,Callum Johnson,185.0,185.0,182.0,182.0,175.0,175.0,33,33,13,17,0,1,0,0,13.0,18.0,1.0,0.94,1.0,0.78,5.0,5.0,0.84,0.82,150,180,29,28,23,24,9,9,53.0,52.0,0.74,0.72,8,9,Orthodox,Orthodox,LightHeavyweight,LightHeavyweight,1,0.0,1.0
Artur Beterbiev,Oleksandr Gvozdyk,185.0,75.0,182.0,74.0,175.0,175.0,34,32,15,17,0,1,0,0,15.0,18.0,1.0,0.94,1.0,0.82,5.0,5.0,0.83,0.83,150,180,29,29,22,23,9,9,53.0,52.0,0.74,0.72,8,9,Orthodox,Orthodox,LightHeavyweight,LightHeavyweight,1,0.0,1.0
Artur Beterbiev,Anthony Yarde,185.0,183.0,182.0,180.0,175.0,175.0,38,31,19,23,0,2,0,0,19.0,25.0,1.0,0.92,1.0,0.87,5.0,5.0,0.84,0.82,150,180,28,27,23,24,9,9,52.0,53.0,0.74,0.71,8,9,Orthodox,Orthodox,LightHeavyweight,LightHeavyweight,1,0.0,1.0
Oleksandr Gvozdyk,Adonis Stevenson,75.0,196.0,74.0,180.0,175.0,175.0,31,41,15,29,0,2,0,1,15.0,32.0,1.0,0.91,0.85,0.83,5.0,5.0,0.83,0.82,150,180,28,29,23,25,9,10,52.0,52.0,0.73,0.72,8,9,Orthodox,Southpaw,LightHeavyweight,LightHeavyweight,1,0.0,1.0
Jean Pascal,Badou Jack,183.0,185.0,179.0,185.0,175.0,175.0,37,36,34,22,6,3,1,3,41.0,28.0,0.83,0.79,0.6,0.5,5.0,5.0,0.8,0.79,210,240,27,28,29,27,8,9,49.0,51.0,0.71,0.7,7,8,Orthodox,Orthodox,LightHeavyweight,LightHeavyweight,1,0.0,1.0
Joe Smith Jr.,Bernard Hopkins,193.0,180.0,183.0,185.0,175.0,175.0,27,51,22,55,1,7,0,2,23.0,64.0,0.96,0.86,0.65,0.47,5.0,5.0,0.82,0.75,180,730,28,20,29,25,8,10,50.0,54.0,0.72,0.7,8,10,Orthodox,Orthodox,LightHeavyweight,LightHeavyweight,1,0.0,1.0
Joe Smith Jr.,Eleider Alvarez,193.0,192.0,183.0,183.0,175.0,175.0,30,36,26,25,3,1,0,0,29.0,26.0,0.9,0.96,0.65,0.56,5.0,5.0,0.8,0.81,240,300,28,27,30,25,8,9,50.0,52.0,0.72,0.71,8,9,Orthodox,Orthodox,LightHeavyweight,LightHeavyweight,1,0.0,1.0
Caleb Plant,Jose Uzcategui,188.0,194.0,185.0,188.0,168.0,168.0,26,27,17,27,0,2,0,1,17.0,30.0,1.0,0.9,0.57,0.83,5.0,5.0,0.84,0.79,180,150,27,29,23,26,9,8,52.0,53.0,0.73,0.71,8,9,Orthodox,Orthodox,SuperMiddleweight,SuperMiddleweight,1,0.0,1.0
David Benavidez,David Lemieux,189.0,178.0,188.0,175.0,168.0,168.0,25,33,25,43,0,4,0,0,25.0,47.0,1.0,0.91,0.83,0.81,5.0,5.0,0.84,0.8,180,210,30,31,26,28,10,9,54.0,53.0,0.74,0.72,8,9,Orthodox,Orthodox,SuperMiddleweight,SuperMiddleweight,1,0.0,1.0
David Benavidez,Ronald Gavril,189.0,187.0,188.0,180.0,168.0,168.0,21,31,18,19,0,2,0,0,18.0,21.0,1.0,0.9,0.83,0.47,5.0,5.0,0.83,0.78,150,210,29,26,25,27,9,9,52.0,51.0,0.73,0.7,8,9,Orthodox,Orthodox,SuperMiddleweight,SuperMiddleweight,1,0.0,1.0
Jermall Charlo,Julian Williams,188.0,184.0,183.0,178.0,154.0,154.0,26,26,24,22,0,1,0,0,24.0,23.0,1.0,0.96,0.75,0.64,5.0,5.0,0.83,0.82,150,150,28,29,25,27,9,9,52.0,53.0,0.72,0.71,8,9,Orthodox,Orthodox,SuperWelterweight,SuperWelterweight,1,0.0,1.0
Jermall Charlo,Matt Korobov,188.0,70.0,183.0,71.0,160.0,160.0,28,35,28,28,0,2,0,1,28.0,31.0,1.0,0.88,0.75,0.48,5.0,5.0,0.84,0.79,180,210,29,27,26,28,9,9,53.0,52.0,0.73,0.71,8,9,Orthodox,Southpaw,Middleweight,Middleweight,1,0.0,1.0
Jermell Charlo,Tony Harrison,185.0,193.0,180.0,185.0,154.0,154.0,28,28,31,28,0,2,0,0,31.0,30.0,1.0,0.93,0.75,0.54,5.0,5.0,0.83,0.81,150,210,27,28,26,27,9,9,52.0,52.0,0.73,0.71,8,9,Orthodox,Orthodox,SuperWelterweight,SuperWelterweight,1,0.0,0.0
Jermell Charlo,Brian Castano,185.0,173.0,180.0,169.0,154.0,154.0,31,32,34,17,1,0,0,2,35.0,19.0,0.97,0.89,0.75,0.63,5.0,5.0,0.82,0.84,150,210,28,29,25,28,9,9,52.0,53.0,0.73,0.72,8,9,Orthodox,Orthodox,SuperWelterweight,SuperWelterweight,1,0.0,1.0
Julian Williams,Jarrett Hurd,184.0,198.0,178.0,182.0,154.0,154.0,29,28,27,23,3,1,1,0,31.0,24.0,0.87,0.96,0.65,0.83,5.0,5.0,0.81,0.83,150,180,26,29,28,26,9,9,51.0,52.0,0.72,0.73,8,9,Orthodox,Orthodox,SuperWelterweight,SuperWelterweight,1,0.0,1.0
Jarrett Hurd,Erislandy Lara,198.0,192.0,182.0,175.0,154.0,154.0,27,34,21,25,0,3,0,2,21.0,30.0,1.0,0.83,0.75,0.48,5.0,5.0,0.83,0.82,150,240,27,25,27,26,9,9,52.0,52.0,0.73,0.71,8,9,Orthodox,Southpaw,SuperWelterweight,SuperWelterweight,1,0.0,1.0
Tony Harrison,Ishe Smith,193.0,180.0,185.0,178.0,154.0,154.0,27,39,26,29,2,9,0,0,28.0,38.0,0.93,0.76,0.53,0.52,5.0,5.0,0.82,0.78,150,300,26,24,25,27,8,9,51.0,50.0,0.72,0.7,8,9,Orthodox,Orthodox,SuperWelterweight,SuperWelterweight,1,0.0,1.0
Brian Castano,Patrick Teixeira,173.0,189.0,169.0,182.0,154.0,154.0,31,30,17,31,0,3,2,0,19.0,34.0,0.89,0.91,0.63,0.65,5.0,5.0,0.83,0.82,150,210,27,26,26,28,9,9,52.0,52.0,0.73,0.71,8,9,Orthodox,Southpaw,SuperWelterweight,SuperWelterweight,1,0.0,1.0
Demetrius Andrade,Maciej Sulecki,187.0,73.0,185.0,73.0,160.0,160.0,31,30,28,29,0,2,0,0,28.0,31.0,1.0,0.94,0.65,0.38,5.0,5.0,0.84,0.79,180,240,28,27,24,25,9,9,53.0,51.0,0.74,0.71,8,9,Southpaw,Orthodox,Middleweight,Middleweight,1,0.0,1.0
Demetrius Andrade,Liam Williams,187.0,178.0,185.0,178.0,160.0,160.0,33,28,30,23,0,3,0,0,30.0,26.0,1.0,0.88,0.65,0.73,5.0,5.0,0.83,0.82,180,240,28,27,24,26,9,9,53.0,52.0,0.74,0.71,8,9,Southpaw,Orthodox,Middleweight,Middleweight,1,0.0,1.0
Billy Joe Saunders,Andy Lee,180.0,191.0,180.0,188.0,160.0,160.0,26,31,22,34,0,2,0,0,22.0,36.0,1.0,0.94,0.43,0.62,5.0,5.0,0.83,0.8,180,240,27,26,23,25,9,9,52.0,52.0,0.73,0.72,8,9,Southpaw,Orthodox,Middleweight,Middleweight,1,0.0,1.0
Andy Lee,Matt Korobov,191.0,70.0,188.0,71.0,160.0,160.0,30,31,33,24,2,0,0,0,35.0,24.0,0.94,1.0,0.65,0.75,5.0,5.0,0.82,0.81,210,240,26,27,24,25,9,9,52.0,51.0,0.73,0.71,8,9,Southpaw,Southpaw,Middleweight,Middleweight,1,0.0,1.0
Daniel Jacobs,Peter Quillin,187.0,184.0,183.0,180.0,160.0,160.0,28,32,31,32,1,1,0,0,32.0,33.0,0.97,0.97,0.84,0.72,5.0,5.0,0.82,0.83,180,240,28,29,24,26,9,9,53.0,52.0,0.73,0.71,8,9,Orthodox,Orthodox,Middleweight,Middleweight,1,0.0,1.0
Daniel Jacobs,Sergio Mora,187.0,191.0,183.0,71.0,160.0,160.0,28,34,30,29,1,3,0,2,31.0,34.0,0.97,0.85,0.84,0.41,5.0,5.0,0.83,0.8,150,240,27,25,23,27,9,9,52.0,51.0,0.73,0.71,8,9,Orthodox,Orthodox,Middleweight,Middleweight,1,0.0,1.0
Sergiy Derevyanchenko,Jack Culcay,174.0,165.0,175.0,170.0,160.0,160.0,33,33,13,28,2,3,0,0,15.0,31.0,0.87,0.9,0.65,0.55,5.0,5.0,0.82,0.81,180,240,27,26,25,27,9,9,51.0,52.0,0.72,0.71,8,9,Orthodox,Orthodox,Middleweight,Middleweight,1,0.0,1.0
Ryota Murata,Hassan N’Dam,191.0,74.0,183.0,71.0,160.0,160.0,31,33,13,36,2,5,0,0,15.0,41.0,0.87,0.88,0.7,0.61,5.0,5.0,0.8,0.76,210,240,26,27,28,30,9,8,50.0,52.0,0.72,0.71,8,9,Orthodox,Orthodox,Middleweight,Middleweight,1,0.0,1.0
Felix Sturm,Oscar De La Hoya,73.0,73.0,73.0,179.0,160.0,66.0,25,31,20,36,0,4,0,0,20.0,40.0,1.0,0.9,0.4,0.64,5.0,5.0,0.84,0.79,150,210,27,30,25,28,9,9,52.0,53.0,0.72,0.71,8,9,Orthodox,Orthodox,Middleweight,Middleweight,1,0.0,0.0
Felix Sturm,Sam Soliman,73.0,182.0,73.0,175.0,160.0,160.0,34,39,35,44,3,11,2,0,40.0,55.0,0.88,0.8,0.5,0.36,5.0,5.0,0.81,0.77,210,240,28,26,27,29,9,9,52.0,51.0,0.73,0.71,8,9,Orthodox,Orthodox,Middleweight,Middleweight,1,0.0,1.0
Chris Eubank Jr.,James DeGale,184.0,188.0,180.0,185.0,168.0,168.0,29,33,27,25,2,3,0,1,29.0,29.0,0.93,0.86,0.57,0.6,5.0,5.0,0.82,0.79,210,240,29,28,27,26,9,9,52.0,52.0,0.73,0.71,8,9,Orthodox,Southpaw,SuperMiddleweight,SuperMiddleweight,1,0.0,1.0
James DeGale,Lucian Bute,188.0,183.0,185.0,187.0,168.0,168.0,29,35,22,32,1,3,0,0,23.0,35.0,0.96,0.91,0.68,0.57,5.0,5.0,0.82,0.8,210,300,28,27,26,29,9,9,52.0,51.0,0.72,0.71,8,9,Southpaw,Orthodox,SuperMiddleweight,SuperMiddleweight,1,0.0,1.0
Carl Froch,George Groves,191.0,188.0,185.0,182.0,168.0,168.0,36,25,33,19,2,1,0,0,35.0,20.0,0.94,0.95,0.75,0.79,5.0,5.0,0.82,0.81,210,150,29,28,27,26,9,9,52.0,51.0,0.73,0.72,8,9,Orthodox,Orthodox,SuperMiddleweight,SuperMiddleweight,1,1.0,1.0
George Groves,Fedor Chudinov,188.0,183.0,182.0,177.0,168.0,168.0,29,29,26,20,3,2,0,0,29.0,22.0,0.9,0.91,0.75,0.65,5.0,5.0,0.83,0.81,210,240,28,27,27,26,9,9,52.0,51.0,0.72,0.71,8,9,Orthodox,Orthodox,SuperMiddleweight,SuperMiddleweight,1,0.0,1.0
Lucian Bute,Andrade Librado,183.0,198.0,187.0,183.0,168.0,168.0,28,30,23,27,0,2,0,0,23.0,29.0,1.0,0.93,0.65,0.59,5.0,5.0,0.84,0.8,180,240,28,27,26,29,9,9,52.0,52.0,0.72,0.71,8,9,Southpaw,Orthodox,SuperMiddleweight,SuperMiddleweight,1,0.0,1.0
Andre Ward,Edwin Rodriguez,180.0,190.0,183.0,72.0,168.0,168.0,29,28,27,24,0,1,0,0,27.0,25.0,1.0,0.96,0.5,0.68,5.0,5.0,0.85,0.81,180,210,30,28,23,27,9,9,54.0,52.0,0.74,0.71,8,9,Orthodox,Orthodox,SuperMiddleweight,SuperMiddleweight,1,1.0,1.0
Andre Ward,Sullivan Barrera,180.0,73.0,183.0,74.0,175.0,175.0,32,34,28,22,0,0,0,0,28.0,22.0,1.0,1.0,0.5,0.68,5.0,5.0,0.85,0.82,210,240,29,28,23,26,9,9,53.0,52.0,0.74,0.71,8,9,Orthodox,Orthodox,LightHeavyweight,LightHeavyweight,1,1.0,1.0
Andre Ward,Arthur Abraham,180.0,183.0,183.0,175.0,168.0,168.0,27,31,24,31,0,4,0,0,24.0,35.0,1.0,0.89,0.5,0.81,5.0,5.0,0.86,0.8,150,300,28,27,22,29,9,9,54.0,52.0,0.74,0.71,8,9,Orthodox,Orthodox,SuperMiddleweight,SuperMiddleweight,1,0.0,1.0
Devin Haney,Regis Prograis,183.0,170.0,173.0,173.0,140.0,140.0,25,34,30,29,0,1,0,0,30.0,30.0,1.0,0.97,0.62,0.76,5.0,5.0,0.86,0.81,150,240,27,29,23,27,9,9,54.0,53.0,0.74,0.71,8,9,Orthodox,Southpaw,LightWelterweight,LightWelterweight,1,0.0,1.0
Emanuel Navarrete,Liam Wilson,183.0,70.0,170.0,183.0,130.0,129.0,28,26,36,11,1,1,0,0,37.0,12.0,0.97,0.92,0.79,0.45,5.0,5.0,0.83,0.8,180,210,27,26,24,28,9,9,53.0,51.0,0.73,0.71,8,9,Orthodox,Orthodox,SuperFeatherweight,SuperFeatherweight,1,0.0,1.0
Emanuel Navarrete,Isaac Dogboe,183.0,163.0,170.0,157.0,122.0,122.0,24,23,26,19,1,1,0,0,27.0,20.0,0.96,0.95,0.78,0.8,5.0,5.0,0.84,0.83,180,210,28,27,25,26,9,9,53.0,52.0,0.73,0.71,8,9,Orthodox,Orthodox,SuperBantamweight,SuperBantamweight,1,0.0,1.0
Oleksandr Usyk,Daniel Dubois,198.0,198.0,191.0,196.0,221.0,233.0,36,25,20,19,0,1,0,0,20.0,20.0,1.0,0.95,0.72,0.84,5.0,5.0,0.83,0.79,210,180,28,29,22,27,9,9,53.0,51.0,0.74,0.71,8,9,Southpaw,Orthodox,Heavyweight,Heavyweight,1,0.0,1.0
Zhilei Zhang,Filip Hrgovic,80.0,80.0,78.0,78.0,278.0,243.0,39,30,24,14,1,0,0,0,25.0,14.0,0.96,1.0,0.83,0.71,5.0,5.0,0.82,0.85,210,180,27,28,29,27,9,9,52.0,53.0,0.73,0.72,8,9,Southpaw,Orthodox,Heavyweight,Heavyweight,1,0.0,0.0
Jai Opetaia,Mairis Briedis,193.0,75.0,188.0,73.0,199.0,199.0,27,35,21,28,0,1,0,0,21.0,29.0,1.0,0.97,0.73,0.72,5.0,5.0,0.84,0.83,210,240,27,28,25,27,9,9,53.0,52.0,0.73,0.71,8,9,Southpaw,Orthodox,Cruiserweight,Cruiserweight,1,0.0,1.0
